R,Area,X,Y,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
1,0.617532,0.018665,0.222731,0.018662,0.222741,1.334932,0.588993,179.546647,0.602706,1,2.266466,0.441215,0.961808
2,0.646559,0.091825,0.061633,0.091828,0.061643,1.333664,0.617265,2.752922,0.644055,2,2.160602,0.462834,0.971101
3,0.685115,-0.075073,-0.103593,-0.075091,-0.103570,1.233059,0.707440,176.628378,0.679395,3,1.742988,0.573727,0.965095
4,0.707954,0.014231,0.311727,0.014335,0.312047,1.035618,0.870393,167.633423,0.746191,4,1.189828,0.840458,0.970640
5,0.826421,0.150296,0.445619,0.150276,0.445661,1.067534,0.985666,94.692287,0.666187,5,1.083059,0.923311,0.972657
6,0.892629,-0.014813,0.403457,-0.014813,0.403457,1.213314,0.936715,91.076921,0.708028,6,1.295286,0.772031,0.972626
7,0.885777,-0.008206,0.454652,-0.008181,0.454753,1.306995,0.862900,91.702563,0.699601,7,1.514655,0.660217,0.971438
8,0.898228,0.037369,0.669240,0.037372,0.669296,1.340245,0.853321,91.911957,0.660135,8,1.570624,0.636690,0.976610
9,0.903999,0.040446,0.732976,0.040446,0.732976,1.347312,0.854299,91.903190,0.734496,9,1.577098,0.634076,0.980672
10,0.891695,0.043395,0.805809,0.043395,0.805809,1.316470,0.862414,91.065477,0.808256,10,1.526495,0.655096,0.990156
11,0.843120,0.051012,0.883322,0.051012,0.883322,1.199043,0.895292,92.702271,0.855746,11,1.339276,0.746672,0.990265
12,0.775881,0.055627,0.964539,0.055627,0.964539,1.043403,0.946788,102.385225,0.899680,12,1.102045,0.907404,0.990889
13,0.731455,0.060433,1.050331,0.060433,1.050331,1.023932,0.909550,178.222573,0.879006,13,1.125757,0.888291,0.990423
14,0.703017,0.067087,1.098719,0.067087,1.098719,1.065081,0.840414,177.449898,0.871765,14,1.267329,0.789061,0.988979
15,0.673818,0.072923,1.133736,0.072923,1.133736,1.083503,0.791813,177.218451,0.857644,15,1.368381,0.730791,0.989506
16,0.703484,0.080758,1.190639,0.080758,1.190639,1.060550,0.844566,179.850021,0.882035,16,1.255734,0.796347,0.990680
17,0.755743,0.087656,1.267124,0.087656,1.267124,0.996273,0.965842,4.046891,0.901753,17,1.031508,0.969455,0.990314
18,0.802968,0.093258,1.324370,0.093258,1.324370,1.099980,0.929445,91.439409,0.874143,18,1.183481,0.844965,0.990128
19,0.829883,0.099564,1.381689,0.099564,1.381689,1.175542,0.898854,91.366741,0.865905,19,1.307824,0.764629,0.990707
20,0.858911,0.103579,1.415224,0.103579,1.415224,1.249771,0.875039,91.267663,0.864239,20,1.428246,0.700160,0.991313
21,0.868071,0.110833,1.444960,0.110833,1.444960,1.285924,0.859508,91.502897,0.840281,21,1.496117,0.668397,0.990848
22,0.851666,0.118094,1.480930,0.118094,1.480930,1.244269,0.871495,92.106230,0.835694,22,1.427741,0.700407,0.990645
23,0.816524,0.124015,1.535704,0.124015,1.535704,1.145107,0.907890,93.154068,0.873649,23,1.261284,0.792843,0.990836
24,0.759648,0.130126,1.595087,0.130126,1.595087,0.997442,0.969694,108.051382,0.895393,24,1.028615,0.972181,0.990537
25,0.714240,0.135781,1.656820,0.135781,1.656820,1.024931,0.887278,176.857475,0.880969,25,1.155140,0.865696,0.989942
26,0.689142,0.142129,1.693249,0.142129,1.693249,1.070955,0.819309,178.812988,0.871803,26,1.307144,0.765027,0.989806
27,0.680989,0.149608,1.711556,0.149608,1.711556,1.085311,0.798907,179.872080,0.871711,27,1.358495,0.736109,0.990446
28,0.706259,0.157643,1.746230,0.157643,1.746230,1.043094,0.862086,1.130734,0.880548,28,1.209965,0.826470,0.990801
29,0.760827,0.165519,1.792519,0.165519,1.792519,0.992203,0.976327,88.132841,0.902575,29,1.016261,0.984000,0.990425
30,0.802747,0.170504,1.846996,0.170504,1.846996,1.104940,0.925017,90.645874,0.879755,30,1.194508,0.837165,0.990666
31,0.827722,0.175606,1.887671,0.175606,1.887671,1.182944,0.890903,91.185095,0.863052,31,1.327802,0.753124,0.991163
32,0.848031,0.182667,1.907153,0.182667,1.907153,1.238324,0.871942,91.766935,0.858928,32,1.420191,0.704131,0.991046
33,0.856357,0.189547,1.923614,0.189547,1.923614,1.260408,0.865074,92.134142,0.851886,33,1.456994,0.686345,0.990808
34,0.830325,0.196651,1.946704,0.196651,1.946704,1.192450,0.886581,92.689028,0.852679,34,1.344998,0.743495,0.990668
35,0.791254,0.203459,1.980002,0.203459,1.980002,1.086700,0.927078,93.946162,0.884491,35,1.172178,0.853113,0.990882
36,0.742506,0.208614,2.031391,0.208614,2.031391,0.989514,0.955407,168.258057,0.905241,36,1.035700,0.965531,0.990564
37,0.703116,0.213549,2.076594,0.213549,2.076594,1.042255,0.858940,179.125521,0.878120,37,1.213420,0.824117,0.989853
38,0.678460,0.220224,2.096097,0.220224,2.096097,1.079885,0.799939,0.358807,0.869970,38,1.349959,0.740763,0.990055
39,0.686023,0.229193,2.104597,0.229193,2.104597,1.070987,0.815577,1.316995,0.872903,39,1.313166,0.761519,0.990199
40,0.726225,0.236950,2.126275,0.236950,2.126275,1.018124,0.908198,2.823102,0.887270,40,1.121038,0.892031,0.990123
41,0.771583,0.241807,2.163287,0.241807,2.163287,1.026180,0.957346,88.419567,0.901749,41,1.071900,0.932922,0.990401
42,0.803115,0.247055,2.204684,0.247055,2.204684,1.118537,0.914192,90.986153,0.879382,42,1.223525,0.817311,0.991180
43,0.831897,0.252596,2.230156,0.252596,2.230156,1.198920,0.883465,91.755051,0.857238,43,1.357065,0.736884,0.990888
44,0.846239,0.259059,2.245796,0.259059,2.245796,1.239007,0.869620,92.356990,0.859600,44,1.424768,0.701869,0.991056
45,0.841082,0.266256,2.248657,0.266256,2.248657,1.224097,0.874847,92.797753,0.862294,45,1.399213,0.714688,0.991202
46,0.811367,0.273500,2.258056,0.273500,2.258056,1.144768,0.902422,93.560057,0.869709,46,1.268550,0.788302,0.990853
47,0.768022,0.278699,2.287717,0.278699,2.287717,1.027394,0.951802,96.585370,0.888239,47,1.079420,0.926423,0.990373
48,0.726249,0.283419,2.324517,0.283419,2.324517,1.008551,0.916849,178.074015,0.896061,48,1.100019,0.909075,0.990156
49,0.690567,0.289418,2.354319,0.289418,2.354319,1.058377,0.830759,0.800149,0.866930,49,1.273988,0.784936,0.989862
50,0.680031,0.296414,2.363892,0.296414,2.363892,1.078989,0.802457,1.598993,0.867154,50,1.344607,0.743712,0.989477
51,0.706136,0.304395,2.364296,0.304395,2.364296,1.047433,0.858366,2.457943,0.879615,51,1.220263,0.819495,0.990015
52,0.739510,0.311482,2.376829,0.311482,2.376829,0.994435,0.946843,6.957696,0.888572,52,1.050264,0.952142,0.990022
53,0.781087,0.316043,2.405813,0.316043,2.405813,1.057659,0.940294,89.658304,0.896636,53,1.124817,0.889033,0.990671
54,0.814854,0.320446,2.434072,0.320446,2.434072,1.152674,0.900084,91.684187,0.874060,54,1.280629,0.780866,0.991217
55,0.837251,0.325773,2.453835,0.325773,2.453835,1.215661,0.876906,92.453903,0.857878,55,1.386308,0.721340,0.991292
56,0.845085,0.332844,2.455358,0.332844,2.455358,1.235776,0.870704,93.111772,0.859502,56,1.419284,0.704581,0.990402
57,0.824751,0.339388,2.450549,0.339388,2.450549,1.179314,0.890437,93.595882,0.870361,57,1.324422,0.755047,0.990810
58,0.789657,0.345567,2.454750,0.345567,2.454750,1.084795,0.926833,94.669937,0.880919,58,1.170432,0.854385,0.990634
59,0.750070,0.350987,2.474591,0.350987,2.474591,0.982366,0.972163,138.158507,0.895098,59,1.010495,0.989614,0.990000
60,0.712300,0.355160,2.502055,0.355160,2.502055,1.030994,0.879665,0.730256,0.885951,60,1.172031,0.853220,0.989763
61,0.687767,0.360798,2.516390,0.360798,2.516390,1.070024,0.818386,2.170993,0.875399,61,1.307481,0.764830,0.990119
62,0.687276,0.368035,2.516123,0.368035,2.516123,1.070145,0.817708,2.734554,0.872492,62,1.308713,0.764110,0.989954
63,0.718710,0.374991,2.510356,0.374991,2.510356,1.025129,0.892658,4.173316,0.888374,63,1.148401,0.870776,0.990305
64,0.760139,0.380753,2.516771,0.380753,2.516771,1.000630,0.967229,83.078454,0.894540,64,1.034532,0.966620,0.990417
65,0.794815,0.384778,2.537668,0.384778,2.537668,1.097341,0.922219,91.171345,0.886935,65,1.189892,0.840412,0.990482
66,0.826200,0.389107,2.559024,0.389107,2.559024,1.183023,0.889205,92.627155,0.868963,66,1.330428,0.751638,0.991351
67,0.841843,0.394352,2.564218,0.394352,2.564218,1.224085,0.875648,93.292292,0.853966,67,1.397918,0.715349,0.990680
68,0.836440,0.400053,2.557239,0.400053,2.557239,1.207404,0.882048,93.850047,0.863847,68,1.368863,0.730533,0.990347
69,0.807069,0.406484,2.547194,0.406484,2.547194,1.129399,0.909857,94.453788,0.884600,69,1.241292,0.805612,0.990984
70,0.771411,0.412179,2.544146,0.412179,2.544146,1.032025,0.951713,96.738860,0.888109,70,1.084387,0.922180,0.990774
71,0.734206,0.417184,2.556817,0.417184,2.556817,1.002125,0.932837,179.734219,0.898252,71,1.074276,0.930859,0.990131
72,0.696190,0.420976,2.576788,0.420976,2.576788,1.055444,0.839852,2.575819,0.882459,72,1.256702,0.795734,0.990375
73,0.685729,0.425747,2.577312,0.425747,2.577312,1.076331,0.811179,3.446752,0.869588,73,1.326872,0.753652,0.989949
74,0.704515,0.432801,2.567199,0.432801,2.567199,1.050013,0.854291,3.945819,0.885393,74,1.229104,0.813601,0.990009
75,0.741205,0.439044,2.554495,0.439044,2.554495,0.997417,0.946176,9.182978,0.890882,75,1.054156,0.948627,0.990223
76,0.776716,0.443905,2.556972,0.443905,2.556972,1.045098,0.946270,89.512803,0.893565,76,1.104439,0.905437,0.990743
77,0.810826,0.448028,2.570747,0.448028,2.570747,1.137540,0.907552,92.301631,0.883538,77,1.253416,0.797820,0.990758
78,0.837766,0.451727,2.579531,0.451727,2.579531,1.207555,0.883336,93.433282,0.861505,78,1.367039,0.731508,0.990880
79,0.841867,0.455832,2.577136,0.455832,2.577136,1.217240,0.880598,94.037862,0.862854,79,1.382289,0.723438,0.991224
80,0.823474,0.461156,2.561574,0.461156,2.561574,1.166367,0.898927,94.463053,0.879956,80,1.297510,0.770707,0.990781
81,0.792310,0.467467,2.542212,0.467467,2.542212,1.080843,0.933346,95.292262,0.886307,81,1.158030,0.863535,0.990270
82,0.754736,0.472703,2.535820,0.472703,2.535820,0.984760,0.975831,132.870639,0.895189,82,1.009150,0.990933,0.990365
83,0.718415,0.476652,2.542291,0.476652,2.542291,1.031804,0.886520,2.508293,0.891927,83,1.163881,0.859194,0.990184
84,0.690002,0.480156,2.549849,0.480156,2.549849,1.071138,0.820191,4.121791,0.873395,84,1.305962,0.765719,0.990377
85,0.692580,0.484605,2.542492,0.484605,2.542492,1.068283,0.825456,4.300823,0.876936,85,1.294173,0.772694,0.989787
86,0.725684,0.490991,2.519570,0.490991,2.519570,1.023719,0.902563,5.524300,0.897275,86,1.134236,0.881651,0.990514
87,0.761072,0.496247,2.504774,0.496247,2.504774,0.997282,0.971669,79.049281,0.894707,87,1.026360,0.974317,0.990729
88,0.797467,0.499883,2.500537,0.499883,2.500537,1.092914,0.929045,91.646704,0.891172,88,1.176385,0.850062,0.990619
89,0.830055,0.503246,2.504511,0.503246,2.504511,1.178315,0.896924,93.515363,0.878301,89,1.313730,0.761191,0.991217
90,0.845453,0.506306,2.505033,0.506306,2.505033,1.215795,0.885400,94.154138,0.859045,90,1.373159,0.728248,0.990805
91,0.838528,0.509894,2.490984,0.509894,2.490984,1.194459,0.893833,94.547704,0.865159,91,1.336334,0.748316,0.990629
92,0.810188,0.515340,2.465588,0.515340,2.465588,1.119530,0.921425,94.959886,0.883986,92,1.214999,0.823046,0.990884
93,0.775316,0.520895,2.441924,0.520895,2.441924,1.026764,0.961431,97.790550,0.887540,93,1.067955,0.936369,0.990183
94,0.738872,0.525427,2.430125,0.525427,2.430125,1.009401,0.931999,2.280861,0.890338,94,1.083050,0.923318,0.989525
95,0.704466,0.527539,2.430289,0.527539,2.430289,1.058878,0.847080,4.408419,0.885726,95,1.250033,0.799979,0.990060
96,0.696436,0.530267,2.423026,0.530267,2.423026,1.073382,0.826108,5.199691,0.869232,96,1.299323,0.769631,0.989359
97,0.711465,0.535341,2.404583,0.535341,2.404583,1.049476,0.863160,5.516101,0.887596,97,1.215853,0.822468,0.990462
98,0.747664,0.540340,2.375280,0.540340,2.375280,1.000047,0.951910,10.417803,0.898645,98,1.050569,0.951865,0.990951
99,0.785065,0.544558,2.352761,0.544558,2.352761,1.051495,0.950623,90.168073,0.893080,99,1.106111,0.904068,0.991056
100,0.820453,0.547335,2.342495,0.547335,2.342495,1.142472,0.914362,93.062813,0.886068,100,1.249475,0.800336,0.991027
101,0.846091,0.548554,2.338841,0.548554,2.338841,1.204578,0.894319,94.295509,0.870913,101,1.346921,0.742434,0.990797
102,0.848007,0.551350,2.325816,0.551350,2.325816,1.205972,0.895308,94.645447,0.863655,102,1.346991,0.742396,0.990719
103,0.829368,0.554631,2.300237,0.554631,2.300237,1.156035,0.913453,95.086069,0.878186,103,1.265567,0.790160,0.990526
104,0.795453,0.559306,2.266847,0.559306,2.266847,1.068788,0.947618,95.955969,0.894466,104,1.127868,0.886628,0.990142
105,0.761391,0.564180,2.235628,0.564180,2.235628,0.991566,0.977679,170.858043,0.897608,105,1.014204,0.985995,0.990638
106,0.724383,0.566611,2.219814,0.566611,2.219814,1.040295,0.886588,4.978266,0.889568,106,1.173370,0.852246,0.990231
107,0.698302,0.567278,2.210790,0.567278,2.210790,1.074499,0.827461,5.669104,0.883902,107,1.298549,0.770090,0.990801
108,0.704565,0.569703,2.191976,0.569703,2.191976,1.066160,0.841412,5.778387,0.877106,108,1.267108,0.789199,0.990215
109,0.735336,0.573460,2.157716,0.573460,2.157716,1.024799,0.913602,7.173701,0.896105,109,1.121713,0.891493,0.990146
110,0.773842,0.578109,2.119250,0.578109,2.119250,1.011987,0.973615,84.638583,0.892095,110,1.039412,0.962083,0.990009
111,0.811268,0.580857,2.089342,0.580857,2.089342,1.107179,0.932947,92.740053,0.887050,111,1.186754,0.842635,0.990926
112,0.844004,0.581765,2.072434,0.581765,2.072434,1.184758,0.907037,94.162616,0.879315,112,1.306185,0.765589,0.991175
113,0.856455,0.582117,2.055211,0.582117,2.055211,1.211748,0.899917,94.783619,0.871662,113,1.346510,0.742660,0.991049
114,0.845993,0.583712,2.030113,0.583712,2.030113,1.182039,0.911266,94.921300,0.872012,114,1.297139,0.770927,0.990782
115,0.819422,0.586793,1.991884,0.586793,1.991884,1.114498,0.936135,95.568578,0.888862,115,1.190532,0.839961,0.990530
116,0.784869,0.590668,1.946055,0.590668,1.946055,1.025170,0.974790,98.346163,0.898746,116,1.051682,0.950857,0.990793
117,0.744766,0.592983,1.910269,0.592983,1.910269,1.023366,0.926614,4.633269,0.891021,117,1.104414,0.905458,0.990544
